,week_day,route_id,start_time,travel_time,month_day,stop_id
655,1,3,71220,54,7,2
656,1,2,71371,51,7,2
657,1,1,71460,50,7,2
658,1,0,71725,59,7,2
659,1,3,71854,58,7,2
660,1,2,71992,57,7,2
661,1,0,72037,100,7,2
662,1,1,72082,106,7,2
663,1,2,72145,95,7,2
664,1,0,72517,66,7,2
665,1,3,72788,60,7,2
666,1,1,72846,90,7,2
667,1,0,72998,67,7,2
668,1,3,73057,65,7,2
669,1,1,73238,48,7,2
670,1,3,73355,58,7,2
671,1,2,73616,58,7,2
672,1,2,73676,97,7,2
673,1,0,73769,82,7,2
674,1,3,73843,75,7,2
675,1,2,74151,50,7,2
676,1,0,74216,57,7,2
677,1,3,74292,56,7,2
678,1,1,74348,77,7,2
679,1,0,74462,62,7,2
680,1,2,74575,70,7,2
681,1,3,74627,87,7,2
682,1,0,75055,55,7,2
683,1,1,75131,65,7,2
684,1,2,75198,73,7,2
685,1,3,75373,57,7,2
686,1,0,75453,77,7,2
687,1,1,75535,64,7,2
688,1,3,75878,59,7,2
689,1,0,75989,162,7,2
690,1,2,76148,83,7,2
691,1,1,76215,106,7,2
692,1,0,76579,54,7,2
693,1,2,76644,82,7,2
694,1,1,76780,58,7,2
695,1,0,76888,100,7,2
696,1,1,76936,106,7,2
697,1,3,77236,145,7,2
698,1,2,77316,143,7,2
699,1,3,77543,61,7,2
700,1,0,77656,59,7,2
701,1,1,77730,80,7,2
702,1,3,77791,80,7,2
703,1,2,77898,58,7,2
704,1,1,77949,80,7,2
705,1,3,78064,45,7,2
706,1,0,78530,61,7,2
707,1,1,78612,81,7,2
708,1,2,78696,72,7,2
709,1,3,78760,90,7,2
710,1,0,78831,100,7,2
711,1,3,78922,79,7,2
712,1,0,79206,72,7,2
713,1,1,79261,103,7,2
714,1,3,79314,140,7,2
715,1,2,79393,199,7,2
716,1,2,79576,99,7,2
717,1,0,79629,114,7,2
718,1,3,79848,57,7,2
719,1,2,80029,54,7,2
720,1,0,80208,53,7,2
721,1,3,80476,49,7,2
722,1,2,80929,62,7,2
723,1,0,81044,71,7,2
724,1,3,81160,58,7,2
725,1,1,81303,66,7,2
726,1,1,81386,91,7,2
727,1,0,81461,93,7,2
728,1,2,81605,59,7,2
729,1,1,81661,107,7,2
730,1,3,81718,111,7,2
731,1,3,81830,78,7,2
732,1,0,81922,64,7,2
733,1,1,82082,57,7,2
734,1,0,82295,54,7,2
735,1,1,82413,66,7,2
736,1,2,82479,65,7,2
737,1,3,82543,68,7,2
738,1,3,83024,62,7,2
739,1,2,83304,59,7,2
740,1,0,83372,70,7,2
741,1,2,83616,57,7,2
742,1,3,83906,54,7,2
743,1,3,84004,66,7,2
744,1,1,84148,87,7,2
745,1,0,84278,70,7,2
746,1,2,84385,55,7,2
747,1,3,84445,68,7,2
748,1,3,84758,60,7,2
749,1,1,85072,68,7,2
750,1,3,85437,58,7,2
751,1,0,85577,65,7,2
752,1,2,85871,70,7,2
